station,line,towards,countdown,time
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 15, 17, 24, 32, 39, 47, 54, 62, 69]",1638528957.0374813
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61, 68]",1638528957.0374813
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 34, 44, 51, 59, 66]",1638528957.0374813
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528957.0374813
Längenfeldgasse,U4,HÜTTELDORF,"[1, 6, 8, 13, 18, 23, 28, 33, 38, 43, 48, 53, 58, 63, 68]",1638528957.0374813
Längenfeldgasse,U6,FLORIDSDORF,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528957.0374813
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66, 69]",1638528957.0374813
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[6, 14, 21, 29, 37, 44, 51, 59, 66]",1638528957.0374813
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[6, 14, 21, 29, 36, 44, 51, 59]",1638528957.0374813
Längenfeldgasse U,12A,Eichenstraße,"[4, 13, 22, 32, 42, 52, 62]",1638528967.437936
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 29, 39, 49, 59, 69]",1638528967.437936
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 11, 18, 26, 33, 41, 47, 51, 63]",1638528967.437936
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 14, 17, 24, 31, 39, 46, 54, 61, 69]",1638528967.437936
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61, 68]",1638528967.437936
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[3, 14, 23, 34, 44, 51, 58, 66]",1638528967.437936
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528967.437936
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528967.437936
Längenfeldgasse,U6,FLORIDSDORF,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528967.437936
Längenfeldgasse,U6,SIEBENHIRTEN,"[3, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528967.437936
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 13, 21, 28, 37, 43, 50, 58, 65]",1638528967.437936
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[6, 13, 20, 28, 35, 43, 50, 58]",1638528967.437936
Längenfeldgasse U,12A,Eichenstraße,"[3, 13, 22, 32, 42, 52, 62]",1638528977.8003764
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[8, 19, 29, 39, 49, 59, 69]",1638528977.8003764
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 11, 18, 26, 33, 41, 47, 50, 63]",1638528977.8003764
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 14, 17, 24, 31, 39, 46, 54, 61, 69]",1638528977.8003764
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[1, 11, 21, 31, 41, 51, 61, 68]",1638528977.8003764
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 14, 22, 34, 44, 51, 58, 66]",1638528977.8003764
Längenfeldgasse,U4,HEILIGENSTADT,"[3, 9, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528977.8003764
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528977.8003764
Längenfeldgasse,U6,FLORIDSDORF,"[1, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528977.8003764
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 69]",1638528977.8003764
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 13, 21, 28, 37, 43, 50, 58, 65]",1638528977.8003764
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[6, 13, 20, 28, 35, 43, 50, 58]",1638528977.8003764
Längenfeldgasse U,12A,Eichenstraße,"[3, 12, 22, 32, 42, 52, 62]",1638528988.17309
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 29, 39, 49, 59, 69]",1638528988.17309
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 11, 18, 26, 33, 41, 47, 51, 63]",1638528988.17309
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 14, 17, 23, 31, 39, 46, 54, 61, 69]",1638528988.17309
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 11, 21, 31, 41, 51, 61, 68]",1638528988.17309
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 14, 23, 34, 44, 51, 58, 66]",1638528988.17309
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528988.17309
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528988.17309
Längenfeldgasse,U6,FLORIDSDORF,"[1, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528988.17309
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 68]",1638528988.17309
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 13, 21, 28, 37, 43, 50, 58, 65]",1638528988.17309
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[6, 13, 20, 28, 35, 43, 50, 58]",1638528988.17309
Längenfeldgasse U,12A,Eichenstraße,"[3, 12, 22, 32, 42, 52, 62]",1638528998.4970772
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 28, 38, 48, 58, 68]",1638528998.4970772
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 11, 18, 25, 33, 40, 47, 51, 63]",1638528998.4970772
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 14, 17, 23, 31, 38, 46, 53, 61, 68]",1638528998.4970772
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60, 67]",1638528998.4970772
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 14, 22, 33, 43, 50, 58, 65]",1638528998.4970772
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528998.4970772
Längenfeldgasse,U4,HÜTTELDORF,"[0, 5, 7, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638528998.4970772
Längenfeldgasse,U6,FLORIDSDORF,"[1, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638528998.4970772
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 68]",1638528998.4970772
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 21, 28, 37, 43, 50, 58, 65]",1638528998.4970772
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 13, 20, 28, 35, 43, 50, 58]",1638528998.4970772
Längenfeldgasse U,12A,Eichenstraße,"[2, 12, 22, 32, 42, 52, 62]",1638529008.9203627
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 28, 38, 48, 58, 68]",1638529008.9203627
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[2, 11, 18, 25, 33, 40, 47, 51, 63]",1638529008.9203627
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 14, 17, 23, 31, 38, 46, 53, 61, 68]",1638529008.9203627
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60, 67]",1638529008.9203627
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[2, 13, 22, 33, 43, 50, 58, 65]",1638529008.9203627
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638529008.9203627
Längenfeldgasse,U4,HÜTTELDORF,"[4, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638529008.9203627
Längenfeldgasse,U6,FLORIDSDORF,"[0, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638529008.9203627
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 68]",1638529008.9203627
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 21, 28, 37, 43, 50, 58, 65]",1638529008.9203627
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 13, 20, 28, 35, 43, 50, 58]",1638529008.9203627
Längenfeldgasse U,12A,Eichenstraße,"[2, 12, 22, 32, 42, 52, 62]",1638529019.343789
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 28, 38, 48, 58, 68]",1638529019.343789
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[1, 11, 18, 25, 33, 40, 47, 51, 63]",1638529019.343789
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 14, 17, 23, 31, 38, 46, 53, 61, 68]",1638529019.343789
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60, 67]",1638529019.343789
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 14, 22, 33, 43, 50, 58, 65]",1638529019.343789
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638529019.343789
Längenfeldgasse,U4,HÜTTELDORF,"[4, 8, 12, 17, 22, 27, 32, 37, 42, 47, 52, 57, 62, 67]",1638529019.343789
Längenfeldgasse,U6,FLORIDSDORF,"[0, 6, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638529019.343789
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 9, 13, 17, 21, 25, 29, 33, 37, 41, 45, 49, 53, 57, 61, 65, 68]",1638529019.343789
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 13, 20, 28, 36, 43, 50, 58, 65]",1638529019.343789
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 13, 20, 28, 35, 43, 50, 58]",1638529019.343789
Längenfeldgasse U,12A,Eichenstraße,"[2, 12, 21, 31, 41, 51, 61]",1638529029.7568953
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 28, 38, 48, 58, 68]",1638529029.7568953
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[1, 11, 17, 25, 32, 40, 46, 50, 62]",1638529029.7568953
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 13, 17, 22, 30, 38, 45, 53, 60, 68]",1638529029.7568953
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60, 67]",1638529029.7568953
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 14, 21, 33, 43, 50, 57, 65]",1638529029.7568953
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529029.7568953
Längenfeldgasse,U4,HÜTTELDORF,"[4, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529029.7568953
Längenfeldgasse,U6,FLORIDSDORF,"[0, 6, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529029.7568953
Längenfeldgasse,U6,SIEBENHIRTEN,"[2, 7, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638529029.7568953
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[5, 12, 20, 27, 36, 42, 49, 57, 64]",1638529029.7568953
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 12, 19, 27, 34, 42, 49, 57]",1638529029.7568953
Längenfeldgasse U,12A,Eichenstraße,"[1, 12, 21, 31, 41, 51, 61]",1638529040.138024
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 28, 38, 48, 58, 68]",1638529040.138024
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 11, 17, 25, 32, 40, 46, 50, 62]",1638529040.138024
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 13, 17, 22, 30, 38, 45, 53, 60, 68]",1638529040.138024
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60, 67]",1638529040.138024
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 13, 21, 33, 43, 50, 57, 65]",1638529040.138024
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529040.138024
Längenfeldgasse,U4,HÜTTELDORF,"[4, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529040.138024
Längenfeldgasse,U6,FLORIDSDORF,"[0, 6, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529040.138024
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 68]",1638529040.138024
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 27, 36, 42, 49, 57, 64]",1638529040.138024
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 12, 19, 27, 34, 42, 49, 57]",1638529040.138024
Längenfeldgasse U,12A,Eichenstraße,"[0, 12, 21, 31, 41, 51, 61]",1638529050.515027
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 19, 28, 38, 48, 58, 68]",1638529050.515027
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 11, 17, 25, 32, 40, 46, 50, 62, 70]",1638529050.515027
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 13, 16, 22, 30, 38, 45, 53, 60, 68]",1638529050.515027
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 10, 20, 30, 40, 50, 60, 67]",1638529050.515027
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 13, 21, 33, 43, 50, 57, 65]",1638529050.515027
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529050.515027
Längenfeldgasse,U4,HÜTTELDORF,"[4, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529050.515027
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529050.515027
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 67]",1638529050.515027
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 27, 35, 42, 49, 57, 64]",1638529050.515027
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 12, 19, 27, 34, 42, 49, 57, 64]",1638529050.515027
Längenfeldgasse U,12A,Eichenstraße,"[0, 12, 21, 31, 41, 51, 61]",1638529060.8879817
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 18, 27, 37, 47, 57, 67]",1638529060.8879817
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 11, 17, 24, 32, 39, 46, 49, 62, 69]",1638529060.8879817
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 13, 16, 22, 30, 37, 45, 52, 60, 67]",1638529060.8879817
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[0, 9, 19, 29, 39, 49, 59, 66]",1638529060.8879817
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 13, 21, 32, 42, 49, 57, 64]",1638529060.8879817
Längenfeldgasse,U4,HEILIGENSTADT,"[2, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529060.8879817
Längenfeldgasse,U4,HÜTTELDORF,"[4, 8, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529060.8879817
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529060.8879817
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 67]",1638529060.8879817
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 27, 35, 42, 49, 57, 64]",1638529060.8879817
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 12, 19, 27, 34, 42, 49, 57, 64]",1638529060.8879817
Längenfeldgasse U,12A,Eichenstraße,"[0, 12, 21, 31, 41, 51, 61]",1638529071.228212
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 18, 27, 37, 47, 57, 67]",1638529071.228212
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 10, 17, 24, 32, 39, 46, 49, 62, 69]",1638529071.228212
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[0, 12, 16, 22, 30, 37, 45, 52, 60, 67]",1638529071.228212
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[9, 19, 29, 39, 49, 59, 66]",1638529071.228212
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 12, 21, 32, 42, 49, 57, 64]",1638529071.228212
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529071.228212
Längenfeldgasse,U4,HÜTTELDORF,"[3, 7, 11, 16, 21, 26, 31, 36, 41, 46, 51, 56, 61, 66]",1638529071.228212
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529071.228212
Längenfeldgasse,U6,SIEBENHIRTEN,"[1, 5, 8, 12, 16, 20, 24, 28, 32, 36, 40, 44, 48, 52, 56, 60, 64, 67]",1638529071.228212
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 12, 20, 27, 35, 42, 49, 57, 64]",1638529071.228212
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[5, 12, 19, 27, 34, 42, 49, 57, 64]",1638529071.228212
Längenfeldgasse U,12A,Eichenstraße,"[0, 12, 20, 30, 40, 50, 60]",1638529081.6475542
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[7, 18, 27, 37, 47, 57, 67]",1638529081.6475542
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 10, 16, 24, 31, 39, 45, 49, 61, 69]",1638529081.6475542
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[13, 16, 22, 29, 38, 44, 52, 59, 67]",1638529081.6475542
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[9, 19, 29, 39, 49, 59, 66]",1638529081.6475542
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 12, 20, 32, 42, 49, 56, 64]",1638529081.6475542
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529081.6475542
Längenfeldgasse,U4,HÜTTELDORF,"[3, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529081.6475542
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638529081.6475542
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529081.6475542
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 26, 35, 41, 48, 56, 63]",1638529081.6475542
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[4, 12, 18, 26, 33, 41, 48, 56, 63]",1638529081.6475542
Längenfeldgasse U,12A,Eichenstraße,"[0, 12, 20, 30, 40, 50, 60]",1638529092.0453236
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 17, 27, 37, 47, 57, 67]",1638529092.0453236
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 10, 16, 24, 31, 39, 45, 49, 61, 69]",1638529092.0453236
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[13, 16, 22, 29, 37, 44, 52, 59, 67]",1638529092.0453236
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[9, 19, 29, 39, 49, 59, 66]",1638529092.0453236
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 12, 20, 32, 42, 49, 56, 64]",1638529092.0453236
Längenfeldgasse,U4,HEILIGENSTADT,"[1, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529092.0453236
Längenfeldgasse,U4,HÜTTELDORF,"[3, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529092.0453236
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638529092.0453236
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 67]",1638529092.0453236
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 26, 35, 41, 48, 56, 63]",1638529092.0453236
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[4, 12, 18, 26, 33, 41, 48, 56, 63]",1638529092.0453236
Längenfeldgasse U,12A,Eichenstraße,"[0, 11, 20, 30, 40, 50, 60]",1638529102.3967068
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 17, 27, 37, 47, 57, 67]",1638529102.3967068
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 10, 16, 24, 31, 39, 45, 49, 61, 69]",1638529102.3967068
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[13, 16, 22, 29, 37, 44, 52, 59, 67]",1638529102.3967068
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[9, 19, 29, 39, 49, 59, 66]",1638529102.3967068
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 12, 20, 32, 42, 49, 56, 64]",1638529102.3967068
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529102.3967068
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529102.3967068
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638529102.3967068
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 66]",1638529102.3967068
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 26, 35, 41, 48, 56, 63]",1638529102.3967068
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[4, 11, 18, 26, 33, 41, 48, 56, 63]",1638529102.3967068
Längenfeldgasse U,12A,Eichenstraße,"[0, 11, 20, 30, 40, 50, 60]",1638529112.7540805
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 17, 26, 36, 46, 56, 66]",1638529112.7540805
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 9, 16, 23, 31, 38, 45, 49, 59, 68]",1638529112.7540805
"Flurschützstraße, Längenfeldgasse",62,"Oper, Karlsplatz U","[12, 16, 21, 29, 36, 44, 51, 59, 66]",1638529112.7540805
Flurschützstraße / Längenfeldgasse,63A,Am Rosenhügel,"[8, 18, 28, 38, 48, 58, 65]",1638529112.7540805
Flurschützstraße / Längenfeldgasse,63A,Gesundheitszentrum Süd,"[1, 12, 20, 32, 41, 48, 56, 63]",1638529112.7540805
Längenfeldgasse,U4,HEILIGENSTADT,"[0, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529112.7540805
Längenfeldgasse,U4,HÜTTELDORF,"[2, 7, 10, 15, 20, 25, 30, 35, 40, 45, 50, 55, 60, 65]",1638529112.7540805
Längenfeldgasse,U6,FLORIDSDORF,"[4, 7, 10, 14, 18, 22, 26, 30, 34, 38, 42, 46, 50, 54, 58, 62, 66]",1638529112.7540805
Längenfeldgasse,U6,SIEBENHIRTEN,"[0, 4, 7, 11, 15, 19, 23, 27, 31, 35, 39, 43, 47, 51, 55, 59, 63, 66]",1638529112.7540805
"Flurschützstraße, Längenfeldgasse",WLB,Wien Oper,"[4, 11, 19, 26, 34, 41, 48, 56, 63]",1638529112.7540805
"Flurschützstraße, Längenfeldgasse",WLB,Wiener Neudorf,"[4, 11, 18, 26, 33, 41, 48, 56, 63]",1638529112.7540805
Längenfeldgasse U,12A,Eichenstraße,"[0, 10, 20, 30, 40, 50, 60]",1638529123.065848
Längenfeldgasse U,12A,"Schmelz, Gablenzgasse","[6, 16, 26, 36, 46, 56, 66]",1638529123.065848
"Flurschützstraße, Längenfeldgasse",62,"Lainz, Wolkersbergenstraße","[0, 9, 16, 23, 31, 38, 45, 49, 59, 68]",1638529123.065848
